송파동 119
문정동 62-5
송파동 194-1
가락동 53
가락동 55
문정동 3
방이동 181
신천동 7-28
마천동 574
문정동 18
마천동 575
마천동 607
잠실동 175-4
성내동 545-8
길동 457-1
길동 380-6
명일동 47-12
성내동 428-2
천호동 26-12
성내동 420-9
길동 347-20
성내동 199-19
성내동 410-16
길동 415-13
성내동 435-10
둔촌동 518-2
길동 383-8
성내동 444-4
명일동 312-257
강일동 699
천호동 52-3
천호동 52-6
명일동 336-12
길동 457
암사동 446-3
암사동 504-8
길동 385-1
성내동 412
길동 387-4
고덕동 BL-3-1
길동 387-5
천호동 54-7
성내동 435-2
성내동 199-4
명일동 357
길동 353-40
천호동 287-9
천호동 52-17
길동 480
길동 106
천호동 288-5
성내동 508-2
성내동 435-7
천호동 570
길동 414-5
천호동 163-14
천호동 49-8
천호동 333-55
암사동 501-4
명일동 41
길동 343-2
성내동 434-13
성내동 468-3
길동 472
