LINK_ID,ROAD_RANK,LANE_NUM,전일
1017414.0,특별광역시도,6.0,24708
1017415.0,특별광역시도,6.0,23283
1017416.0,특별광역시도,3.0,16400
1017417.0,일반국도,6.0,34480
1017418.0,일반국도,6.0,33748
1017419.0,특별광역시도,3.0,16346
1017420.0,일반국도,8.0,37719
1017421.0,일반국도,8.0,40822
1017422.0,특별광역시도,5.0,21336
1017423.0,특별광역시도,5.0,15080
1017424.0,특별광역시도,4.0,9374
1017426.0,특별광역시도,4.0,12260
1017427.0,특별광역시도,4.0,8911
1017428.0,특별광역시도,6.0,18733
1017429.0,특별광역시도,3.0,28619
1017430.0,특별광역시도,1.0,6936
1017431.0,특별광역시도,6.0,31811
1017432.0,특별광역시도,6.0,28336
1017433.0,특별광역시도,2.0,2487
1017434.0,특별광역시도,2.0,10932
1017435.0,특별광역시도,4.0,20037
1017436.0,특별광역시도,4.0,20651
1017437.0,특별광역시도,4.0,17909
1017438.0,특별광역시도,4.0,16982
1017439.0,특별광역시도,5.0,18375
1017440.0,특별광역시도,5.0,14866
1017441.0,특별광역시도,8.0,32466
1017442.0,특별광역시도,4.0,28459
1017445.0,특별광역시도,4.0,21289
1017451.0,일반국도,5.0,60410
1017452.0,일반국도,5.0,58411
1017454.0,일반국도,5.0,47017
1017457.0,특별광역시도,6.0,21891
1017458.0,특별광역시도,6.0,21693
1017459.0,특별광역시도,6.0,22812
1017460.0,특별광역시도,6.0,23369
1017461.0,특별광역시도,6.0,21892
1017462.0,특별광역시도,6.0,21374
1017463.0,특별광역시도,6.0,26180
1017464.0,특별광역시도,6.0,24148
1017470.0,일반국도,2.0,45338
1017472.0,일반국도,2.0,50722
1017474.0,일반국도,2.0,53847
1017479.0,일반국도,2.0,47460
1017481.0,특별광역시도,6.0,18382
1017486.0,특별광역시도,1.0,5110
1017489.0,특별광역시도,5.0,33172
1017490.0,특별광역시도,5.0,24630
1017493.0,특별광역시도,4.0,50494
1017495.0,특별광역시도,1.0,8332
1017496.0,특별광역시도,4.0,24015
1017497.0,특별광역시도,4.0,25934
1017498.0,특별광역시도,1.0,12080
1017499.0,특별광역시도,4.0,26866
1017500.0,특별광역시도,4.0,26425
1017501.0,특별광역시도,4.0,63840
1017503.0,일반국도,2.0,54546
1017505.0,특별광역시도,5.0,32189
1017506.0,특별광역시도,5.0,20813
1017507.0,특별광역시도,2.0,20902
1017509.0,특별광역시도,2.0,21650
1017512.0,특별광역시도,1.0,17117
1017513.0,특별광역시도,2.0,35292
1017514.0,특별광역시도,2.0,28759
1017515.0,특별광역시도,4.0,25580
1017516.0,특별광역시도,4.0,33763
1017517.0,특별광역시도,7.0,39418
1017518.0,특별광역시도,7.0,46320
1017519.0,특별광역시도,6.0,21146
1017520.0,특별광역시도,6.0,19668
1017521.0,특별광역시도,1.0,5503
1017522.0,특별광역시도,1.0,6478
1017523.0,특별광역시도,6.0,18189
1017524.0,특별광역시도,6.0,19895
1017525.0,특별광역시도,6.0,56206
1017526.0,특별광역시도,6.0,46906
1017527.0,특별광역시도,7.0,51467
1017528.0,특별광역시도,7.0,56614
1017529.0,특별광역시도,2.0,21652
1017530.0,특별광역시도,7.0,64648
1017531.0,특별광역시도,7.0,53876
1017532.0,특별광역시도,2.0,26503
1017533.0,특별광역시도,1.0,17303
1017534.0,특별광역시도,2.0,35470
1017536.0,특별광역시도,1.0,9856
1017537.0,특별광역시도,1.0,12467
