아파트,동명,법정동,지번,거래금액,전용면적
신일라이프(B동),,쌍문동,277-5,"34,700",84.35
신원에벤에셀,101,쌍문동,256,"43,500",84.9
신동아아파트5,117,방학동,738,"55,000",114.9
도봉금강아미움파크타운,도봉금강아미움파크타운,쌍문동,711,"34,800",56.3864
창동한승미메이드,101,창동,824,"61,500",112.9242
파라다이스빌,,쌍문동,727,"62,500",84.91
이에스에이아파트1,103,방학동,718-7,"78,000",124.66
한솔캐스빌,,쌍문동,128-2,"16,000",48.88
미소애,,창동,715-3,"31,500",45.466
새로움아파트,,창동,731-54,"39,800",64.56
그린스테이트,쌍문그린스테이트빌딩,쌍문동,311,"40,000",73.12
삼보,,쌍문동,460-8,"23,000",77.1
피스플하우스,,쌍문동,68-1,"58,000",185.09
동부센트레빌아파트,101,방학동,689,"90,000",131.336
e편한세상,101,쌍문동,731,"63,500",84.754
창동현대4차,401,창동,818,"81,000",101.9957
도봉산리베니움,101,도봉동,571,"45,000",84.58
이에스에이아파트2,108,방학동,716-5,"68,000",84.98
초안산신도브래뉴,101,창동,821,"58,000",84.9991
동양크레오아파트,102,방학동,740,"59,700",84.9696
우암쎈스뷰아파트,101,방학동,713-12,"57,000",84.2
브라운스톤쌍문,101동,쌍문동,729,"60,000",59.9788
백조,라,쌍문동,724,"35,700",64.43
삼안리치,,도봉동,570-10,"22,000",58.96
금성파크A동,금성파크아파트,창동,665-25,"29,500",48.98
삼익세라믹아파트,101,방학동,274,"40,000",58.77
벽산아파트2,103,방학동,496,"41,900",59.581
성원하이츠A동,,쌍문동,574,"40,000",71.22
창동한신휴플러스(621-69),,창동,621-69,"85,500",118.03
신동아타워아파트,101,방학동,736,"31,800",60
방학지음재힐스,방학지음재힐스,방학동,717-2,"14,500",21.51
쌍문리버뷰,,쌍문동,103-69,"41,500",45.88
창동3차현대,301,창동,816,"100,000",135.353
방학동삼성래미안1,101,방학동,720-18,"97,000",118.381
스마트트라움,주건축물제1동,창동,661-55,"17,000",16.42
대웅,2,쌍문동,13-2,"24,000",44.82
창동신도브래뉴1차,,창동,820,"82,000",84.989
효성하이타운아파트,101,방학동,739,"49,000",84.87
신동아아파트3,112,방학동,530,"34,000",84.86
쌍문동LG트윈빌2,,쌍문동,20-4,"83,000",240.97
