LINK_ID,도로등급,도로명,시도,구군,연장km,차선수,전일,7-9시,18-20시
1037125,일반국도,망우로,서울특별시,동대문구,1.289,6,28153,5077,5086
1037164,일반국도,망우로,서울특별시,중랑구,0.239,2,11572,2426,1855
1037183,일반국도,동일로,서울특별시,중랑구,0.236,1,11819,1783,2184
1037231,일반국도,동일로,서울특별시,노원구,0.867,6,24250,4300,4810
1037298,일반국도,경춘북로,서울특별시,중랑구,0.046,5,27475,4683,5350
1037299,일반국도,경춘북로,서울특별시,중랑구,0.046,5,17694,3243,3124
1037317,일반국도,망우로,서울특별시,중랑구,0.181,2,15260,2579,2815
1038301,일반국도,천호대로,서울특별시,강동구,0.713,5,30827,5679,5710
1038308,일반국도,천호대로,서울특별시,강동구,0.397,4,32100,5924,5706
1041389,일반국도,동일로,서울특별시,노원구,0.236,3,43717,7003,9394
1041396,일반국도,동일로,서울특별시,노원구,0.714,6,27943,5352,4714
1041397,일반국도,동일로,서울특별시,노원구,0.06,6,27979,4856,5995
1041401,일반국도,동일로,서울특별시,노원구,0.115,4,22025,5383,3400
1041402,일반국도,동일로,서울특별시,노원구,0.115,4,23013,4114,4393
1041457,일반국도,동일로,서울특별시,노원구,0.074,2,22323,3996,4559
1062576,일반국도,개화동로,서울특별시,강서구,1.488,3,50810,8568,10808
1063421,일반국도,중앙로,서울특별시,서초구,0.021,2,20997,4829,4109
1063422,일반국도,양재대로,서울특별시,서초구,0.219,2,23756,4143,4700
1063423,일반국도,양재대로,서울특별시,서초구,0.307,2,39600,6075,5682
1064477,일반국도,동일로,서울특별시,노원구,0.676,6,22490,4051,4377
1064478,일반국도,동일로,서울특별시,노원구,0.867,6,23787,4827,4021
1064499,일반국도,동일로,서울특별시,노원구,0.676,6,19645,3583,3771
1064540,일반국도,동일로,서울특별시,노원구,0.909,6,24968,5104,4179
1064541,일반국도,동일로,서울특별시,노원구,1.222,6,18764,3263,3831
1064558,일반국도,망우로,서울특별시,동대문구,1.289,6,28046,4720,5046
1064559,일반국도,왕산로,서울특별시,동대문구,0.344,6,26237,4673,4872
1064567,일반국도,통일로,서울특별시,은평구,0.496,6,27694,4913,4882
1064568,일반국도,통일로,서울특별시,은평구,0.501,6,23916,4243,4344
1064575,일반국도,통일로,서울특별시,은평구,0.501,6,24947,4500,4500
1064576,일반국도,통일로,서울특별시,은평구,0.513,6,27911,4321,4897
1064587,일반국도,통일로,서울특별시,은평구,0.513,6,27626,4783,5001
1064588,일반국도,통일로,서울특별시,은평구,0.394,6,25980,4532,4554
1064602,일반국도,증산로,서울특별시,은평구,0.601,6,31661,4453,5421
1064603,일반국도,증산로,서울특별시,은평구,0.218,6,32572,5537,4703
1064620,일반국도,증산로,서울특별시,은평구,0.601,6,30699,5248,4882
1064621,일반국도,증산로,서울특별시,은평구,0.976,6,28784,4575,4800
1064678,일반국도,사직로,서울특별시,종로구,0.146,7,39608,6125,7690
1064686,일반국도,사직로,서울특별시,종로구,0.17,6,33527,5062,6156
1064708,일반국도,종로,서울특별시,종로구,0.496,6,25729,4940,4727
1064717,일반국도,종로,서울특별시,종로구,0.496,6,26132,4744,4854
1064718,일반국도,종로,서울특별시,종로구,0.395,6,24875,4411,4203
1064745,일반국도,동일로,서울특별시,중랑구,0.091,6,25605,5761,3880
1064746,일반국도,동일로,서울특별시,중랑구,0.453,6,22268,4014,4025
1064747,일반국도,동일로,서울특별시,중랑구,0.091,6,20455,3975,3496
1064749,일반국도,동일로,서울특별시,중랑구,0.05,6,24850,5076,4761
1064750,일반국도,동일로,서울특별시,노원구,0.041,6,23355,3809,4514
1064751,일반국도,동일로,서울특별시,중랑구,0.05,6,22128,3951,4098
1064752,일반국도,동일로,서울특별시,중랑구,0.154,6,28493,5580,5275
1064754,일반국도,동일로,서울특별시,중랑구,0.154,6,26848,4623,5130
1064755,일반국도,동일로,서울특별시,중랑구,0.453,6,23312,4818,3817
1064768,일반국도,용마산로,서울특별시,중랑구,0.952,6,24873,4748,4172
1064780,일반국도,망우로,서울특별시,중랑구,0.24,6,23367,4315,4158
1064781,일반국도,망우로,서울특별시,중랑구,0.429,7,29001,5030,5217
1064784,일반국도,동일로,서울특별시,중랑구,0.519,6,28220,6151,4808
1064792,일반국도,동일로,서울특별시,중랑구,0.519,6,21084,3464,4744
1064801,일반국도,망우로,서울특별시,중랑구,0.429,7,24282,4249,4226
1064802,일반국도,망우로,서울특별시,중랑구,0.413,6,26320,4545,4455
1064806,일반국도,천호대로,서울특별시,광진구,0.244,9,36318,6133,5857
1064819,일반국도,망우로,서울특별시,중랑구,0.24,6,22489,3958,3753
1064820,일반국도,망우로,서울특별시,중랑구,0.479,6,25443,4589,5037
1064935,일반국도,동일로,서울특별시,광진구,0.436,6,30431,5941,4932
1064936,일반국도,동일로,서울특별시,광진구,0.895,6,26247,4077,6099
1064949,일반국도,자양로,서울특별시,광진구,0.274,6,25927,4765,4601
1064960,일반국도,동일로,서울특별시,광진구,0.241,2,16294,2787,2794
1064962,일반국도,동일로,서울특별시,성동구,0.083,3,28885,4915,5355
1065022,일반국도,마포대로,서울특별시,마포구,0.305,5,55196,10264,9166
1065045,일반국도,공항대로,서울특별시,양천구,0.511,4,46087,9827,6222
1065115,일반국도,경인로,서울특별시,구로구,0.634,6,29610,5621,4695
1065116,일반국도,경인로,서울특별시,구로구,0.106,6,27545,4430,4767
1065123,일반국도,경인로,서울특별시,구로구,0.106,6,27629,5347,4546
1065185,일반국도,연서로,서울특별시,은평구,0.589,6,25512,4851,4267
1065411,일반국도,송파대로,서울특별시,송파구,0.376,5,38963,5930,8040
1065423,일반국도,영동대로,서울특별시,강남구,0.613,4,31442,4719,5237
1065432,일반국도,영동대로,서울특별시,강남구,0.546,4,33955,5292,6010
